builder-name;codename;cpu;cpu-link;cores;threads;freq;ram;ram-type;ram-link;channels;channels used;modules;freq;swap;raid;drives;drives-link;filesystem;OS;Kernel;System;System Link;other
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;gorilla;2x Xeon E5-2699-v3;https://ark.intel.com/content/www/us/en/ark/products/81061/intel-xeon-processor-e5-2699-v3-45m-cache-2-30-ghz.html;36;72;2.3;384;DDR4 RDIMM ECC;HPE 752370-091;2x4;8? unbalanced;12x32G;2133;30G;RAID0 on HP P244br;128G tmpfs;;;Ubuntu 18.04;4.15.0-76;HPE ProLiant BL460c Gen9;https://h20195.www2.hpe.com/v2/default.aspx?cc=be&lc=en&oid=7271227;---
dual-Xeon-E5-2699-v3-8-channels-zeus;gorilla;2x Xeon E5-2699-v3;https://ark.intel.com/content/www/us/en/ark/products/81061/intel-xeon-processor-e5-2699-v3-45m-cache-2-30-ghz.html;36;72;2.3;384;DDR4 RDIMM ECC;HPE 752370-091;2x4;8? unbalanced;12x32G;2133;30G;RAID0 on HP P244br;2x 600G SATA SSDs;HPE VK0600GDUTQ;ext4 nobarrier nojournal;Ubuntu 18.04;4.15.0-76;HPE ProLiant BL460c Gen9;https://h20195.www2.hpe.com/v2/default.aspx?cc=be&lc=en&oid=7271227;---
dual-Xeon-Gold-6258R-zeus;wendell;2x Xeon Gold 6258R (112);https://ark.intel.com/content/www/us/en/ark/products/199350/intel-xeon-gold-6258r-processor-38-5m-cache-2-70-ghz.html;56;112;2.7-4.0;192;DDR4-2933 ?;;12?;;?;?;?;?;?;?;?;Ubuntu 20.04;5.4.0-52-generic;APEXX D4_02;?;?
Epyc 7502P anyone?;beast/4;AMD EPYC 7502P;https://www.amd.com/en/products/cpu/amd-epyc-7502p;32;64;2.5-3.35;?;?;?;8;?;?;?;?;?;?;?;?;?;?;?;?;---
Epyc 7702P anyone?;beast/2;AMD EPYC 7702P;https://www.amd.com/en/products/cpu/amd-epyc-7702p;64;128;2.0-3.35;?;?;?;8;?;?;?;?;?;?;?;?;?;?;?;?;---
ryzen-5-1600AF-zeus;snail;AMD Ryzen 5 1600AF;https://www.amd.com/en/products/cpu/amd-ryzen-5-1600;6;12;3.2-3.6;16;DDR4 UDIMM;https://www.kingston.com/dataSheets/HX432C16PB3K2_16.pdf;2;2;2x8G;3200;64G;---;2TB Gigabyte Aorus NVMe Gen4 (Running Gen3 x4);https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Ubuntu 19.10;5.3.0-29;MSI B450-A PRO MAX;https://www.msi.com/Motherboard/B450-A-PRO-MAX;---
ryzen-9-5950x-zeus;PR-ftab-nerdcorenet;AMD Ryzen 9 5950;https://www.amd.com/en/products/cpu/amd-ryzen-9-5950x;16;32;3.4-4.9;32;DDR4 DIMM;https://www.corsair.com/us/en/Categories/Products/Memory/VENGEANCE-LPX/p/CMK32GX4M2B3200C16;2;2;2x16G;3200;?;no?;1TB Samsung 970 Evo Plus;https://www.samsung.com/us/computing/memory-storage/solid-state-drives/ssd-970-evo-plus-nvme-m-2-1-tb-mz-v7s1t0b-am/;ext4;Ubuntu 20.04;5.4?;Asus ROG STRIX X570-F GAMING;https://rog.asus.com/cz/motherboards/rog-strix/rog-strix-x570-f-gaming-model/;
ryzen-9-5950x-128gb-docker-hardknott;PR-frosteyes;AMD Ryzen 9 5950;https://www.amd.com/en/products/cpu/amd-ryzen-9-5950x;16;32;3.4-4.9;128;DDR4 DIMM;https://www.crucial.com/memory/ddr4/bl2k32g36c16u4b;2;2;4x32G;3600;?;no?;Corsair SSD MP600 1TB;https://www.corsair.com/us/en/Categories/Products/Storage/M-2-SSDs/Force-Series%E2%84%A2-Gen-4-PCIe-NVMe-M-2-SSD/p/CSSD-F1000GBMP600;?;Ubuntu 18.04;5.10.27;Asus ROG CROSSHAIR VIII HERO;https://rog.asus.com/Motherboards/ROG-Crosshair/ROG-Crosshair-VIII-Hero-Model/;---
ryzen-9-5950x-128gb-docker-zeus;PR-frosteyes;AMD Ryzen 9 5950;https://www.amd.com/en/products/cpu/amd-ryzen-9-5950x;16;32;3.4-4.9;128;DDR4 DIMM;https://www.crucial.com/memory/ddr4/bl2k32g36c16u4b;2;2;4x32G;3600;?;no?;Corsair SSD MP600 1TB;https://www.corsair.com/us/en/Categories/Products/Storage/M-2-SSDs/Force-Series%E2%84%A2-Gen-4-PCIe-NVMe-M-2-SSD/p/CSSD-F1000GBMP600;?;Ubuntu 18.04;5.10.27;Asus ROG CROSSHAIR VIII HERO;https://rog.asus.com/Motherboards/ROG-Crosshair/ROG-Crosshair-VIII-Hero-Model/;---
threadripper-2990WX-128gb-zeus;herrie;AMD TR 2990WX;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-2990wx;32;64;3.0-4.2;128;DDR4 UDIMM;https://www.amazon.de/gp/product/B077HYB2JP/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1;2;2;8x16G 2R;2666;32G;---;1TB NVME Sandisk Extreme Pro;https://shop.westerndigital.com/products/internal-drives/sandisk-extreme-pro-m2-nvme-3d-ssd#SDSSDXPM2-500G-G25;ext4 rw relatime errors=remount-ro;KUbuntu 18.04.4;5.3.10-050310-generic;Asrock X399 Taichi;http://www.asrock.com/mb/AMD/X399%20Taichi/index.asp;---
