task;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels;dual-Xeon-E5-2699-v3-8-channels;dual-Xeon-E5-2699-v3-8-channels;dual-Xeon-E5-2699-v3-8-channels;ryzen-5-1600AF;ryzen-5-1600AF;ryzen-5-1600AF;threadripper-2990wx-128gb;threadripper-2990wx-128gb;threadripper-2990wx-128gb;threadripper-2990wx-128gb;threadripper-3970x-128gb-optane;threadripper-3970x-128gb-optane;threadripper-3970x-128gb-optane;threadripper-3970x-128gb-optane;threadripper-3970x-64gb;threadripper-3970x-64gb;threadripper-3970x-64gb;threadripper-3970x-64gb
sec;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb
icu.do_compile;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;124.98;---;---;---;---;---;---;208.74;---;---;---;---;---;---;---;---;---;---;---;---
libidn.do_configure;---;---;---;---;273.77;---;---;---;332.26;---;---;---;354.47;---;---;---;366.63;---;---;---;342.61;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
libunistring.do_configure;---;---;---;---;---;---;---;---;269.36;---;---;---;285.04;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
nodejs-native.do_compile;---;---;---;303.03;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;157.41;---;---;---;---;---;---;586.74;---;---;---;167.06;---;---;---;---;---;---;---;---
nodejs-native.do_populate_sysroot;---;---;---;152.12;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
nss.do_compile;775.68;---;647.25;179.88;270.65;294.79;---;185.85;331.98;297.72;---;187.28;345.86;298.07;---;185.56;354.52;---;---;128.96;309.41;---;---;131.38;---;---;---;288.01;---;323.20;---;152.05;---;---;83.96;155.41;140.17;---;---
nss-native.do_compile;---;---;---;---;---;---;---;139.70;---;---;---;140.94;---;---;---;141.14;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
perl.do_configure;---;---;---;---;---;---;---;---;---;---;---;---;284.66;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
python3-native.do_populate_sysroot;---;---;---;---;---;261.14;---;117.66;---;---;---;116.54;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
qemu-system-native.do_compile;---;542.16;---;228.66;---;282.18;---;---;---;265.56;---;---;---;---;---;---;---;327.03;---;---;---;---;---;---;899.06;867.57;341.24;---;294.84;---;130.55;---;181.97;133.59;102.28;---;139.91;138.79;103.81
