builder;step;task;time
dual-Xeon-E5-2670-8-channels;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2670-8-channels;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2670-8-channels;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2670-8-channels;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;cairo.do_configure;159.20
ryzen-5-1600AF;4-build-all;cairo.do_configure;---
ryzen-5-1600AF;6-build-16-bb;cairo.do_configure;---
ryzen-5-1600AF;7-build-2-bb;cairo.do_configure;---
threadripper-3970x-64gb;4-build-all;cairo.do_configure;---
threadripper-3970x-64gb;5-build-8-bb;cairo.do_configure;---
threadripper-3970x-64gb;6-build-16-bb;cairo.do_configure;---
threadripper-3970x-64gb;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2670-8-channels;4-build-all;cargo-native.do_compile;715.72
dual-Xeon-E5-2670-8-channels;5-build-8-bb;cargo-native.do_compile;411.79
dual-Xeon-E5-2670-8-channels;6-build-16-bb;cargo-native.do_compile;741.54
dual-Xeon-E5-2670-8-channels;7-build-2-bb;cargo-native.do_compile;161.47
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;cargo-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;cargo-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;cargo-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;cargo-native.do_compile;122.87
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;cargo-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;cargo-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;cargo-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;cargo-native.do_compile;116.76
dual-Xeon-E5-2698-v4-4-channels;4-build-all;cargo-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;cargo-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;cargo-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;cargo-native.do_compile;118.82
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;cargo-native.do_compile;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;cargo-native.do_compile;605.22
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;cargo-native.do_compile;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;cargo-native.do_compile;121.91
dual-Xeon-E5-2699-v3-8-channels;4-build-all;cargo-native.do_compile;---
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;cargo-native.do_compile;665.49
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;cargo-native.do_compile;---
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;cargo-native.do_compile;---
ryzen-5-1600AF;4-build-all;cargo-native.do_compile;---
ryzen-5-1600AF;6-build-16-bb;cargo-native.do_compile;---
ryzen-5-1600AF;7-build-2-bb;cargo-native.do_compile;---
threadripper-3970x-64gb;4-build-all;cargo-native.do_compile;278.29
threadripper-3970x-64gb;5-build-8-bb;cargo-native.do_compile;185.83
threadripper-3970x-64gb;6-build-16-bb;cargo-native.do_compile;256.21
threadripper-3970x-64gb;7-build-2-bb;cargo-native.do_compile;---
dual-Xeon-E5-2670-8-channels;4-build-all;cbindgen-native.do_compile;579.40
dual-Xeon-E5-2670-8-channels;5-build-8-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2670-8-channels;6-build-16-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2670-8-channels;7-build-2-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels;4-build-all;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;cbindgen-native.do_compile;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;cbindgen-native.do_compile;313.44
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2699-v3-8-channels;4-build-all;cbindgen-native.do_compile;---
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;cbindgen-native.do_compile;308.17
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;cbindgen-native.do_compile;---
ryzen-5-1600AF;4-build-all;cbindgen-native.do_compile;---
ryzen-5-1600AF;6-build-16-bb;cbindgen-native.do_compile;---
ryzen-5-1600AF;7-build-2-bb;cbindgen-native.do_compile;---
threadripper-3970x-64gb;4-build-all;cbindgen-native.do_compile;---
threadripper-3970x-64gb;5-build-8-bb;cbindgen-native.do_compile;151.22
threadripper-3970x-64gb;6-build-16-bb;cbindgen-native.do_compile;141.22
threadripper-3970x-64gb;7-build-2-bb;cbindgen-native.do_compile;---
dual-Xeon-E5-2670-8-channels;4-build-all;chromium-x11.do_compile;14134.65
dual-Xeon-E5-2670-8-channels;5-build-8-bb;chromium-x11.do_compile;11325.64
dual-Xeon-E5-2670-8-channels;6-build-16-bb;chromium-x11.do_compile;13993.14
dual-Xeon-E5-2670-8-channels;7-build-2-bb;chromium-x11.do_compile;7543.27
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;chromium-x11.do_compile;4565.58
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;chromium-x11.do_compile;4095.65
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;chromium-x11.do_compile;4591.30
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;chromium-x11.do_compile;2478.60
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;chromium-x11.do_compile;4632.49
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;chromium-x11.do_compile;3430.07
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;chromium-x11.do_compile;4579.21
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;chromium-x11.do_compile;2484.41
dual-Xeon-E5-2698-v4-4-channels;4-build-all;chromium-x11.do_compile;4627.87
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;chromium-x11.do_compile;3057.47
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;chromium-x11.do_compile;4554.71
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;chromium-x11.do_compile;2485.07
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;chromium-x11.do_compile;5790.72
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;chromium-x11.do_compile;4859.70
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;chromium-x11.do_compile;5766.18
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;chromium-x11.do_compile;3110.15
dual-Xeon-E5-2699-v3-8-channels;4-build-all;chromium-x11.do_compile;5774.95
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;chromium-x11.do_compile;3605.65
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;chromium-x11.do_compile;5750.11
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;chromium-x11.do_compile;3102.05
ryzen-5-1600AF;4-build-all;chromium-x11.do_compile;24719.87
ryzen-5-1600AF;6-build-16-bb;chromium-x11.do_compile;24165.89
ryzen-5-1600AF;7-build-2-bb;chromium-x11.do_compile;13567.36
threadripper-3970x-64gb;4-build-all;chromium-x11.do_compile;4087.97
threadripper-3970x-64gb;5-build-8-bb;chromium-x11.do_compile;2761.33
threadripper-3970x-64gb;6-build-16-bb;chromium-x11.do_compile;4030.35
threadripper-3970x-64gb;7-build-2-bb;chromium-x11.do_compile;1880.14
dual-Xeon-E5-2670-8-channels;4-build-all;clang-native.do_compile;3193.04
dual-Xeon-E5-2670-8-channels;5-build-8-bb;clang-native.do_compile;3542.30
dual-Xeon-E5-2670-8-channels;6-build-16-bb;clang-native.do_compile;2837.09
dual-Xeon-E5-2670-8-channels;7-build-2-bb;clang-native.do_compile;2461.43
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;clang-native.do_compile;867.21
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;clang-native.do_compile;780.42
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;clang-native.do_compile;781.96
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;clang-native.do_compile;656.82
