builder;bb;user;system;elapsed;cpu;avgtest;avgdata;maxresident;inputs;outputs;major;minor;swaps
ryzen-5-1600AF-zeus;4-build-all;41.86;6.44;9:06:51;0;0;0;28808;525072;15480;23555;57247;0
ryzen-5-1600AF-zeus;5-build-8;43.34;6.44;9:39:56;0;0;0;30476;1061448;20504;39939;105290;0
ryzen-5-1600AF-zeus;6-build-16;42.50;6.35;9:15:06;0;0;0;30988;645344;11512;27335;67187;0
ryzen-5-1600AF-zeus;7-build-2;41.59;5.29;9:39:48;0;0;0;28584;113872;11808;4862;22294;0
ryzen-9-5950x-zeus;4-build-all;34.86;5.30;3:17:45;0;0;0;43400;247256;6168;19935;66878;0
threadripper-2990wx-128gb-zeus;4-build-all;62.52;11.51;2:33:21;0;0;0;29144;616;5336;4;63293;0
threadripper-2990wx-128gb-zeus;5-build-8;62.22;10.11;2:40:39;0;0;0;28952;36568;5672;1962;61485;0
threadripper-2990wx-128gb-zeus;6-build-16;66.19;10.38;2:31:26;0;0;0;29584;11576;5408;14;64962;0
threadripper-2990wx-128gb-zeus;7-build-2;54.13;7.86;4:06:13;0;0;0;29364;6288;8096;8;56172;0
threadripper-3970x-128gb-optane-zeus;4-build-all;37.10;4.80;1:26:59;0;0;0;28884;16;4632;0;14073;0
threadripper-3970x-128gb-optane-zeus;5-build-8;36.96;4.77;1:32:19;0;0;0;28836;39632;4848;1460;16725;0
threadripper-3970x-128gb-optane-zeus;6-build-16;37.04;4.71;1:27:07;0;0;0;29112;10200;4672;2;14023;0
threadripper-3970x-128gb-optane-zeus;7-build-2;35.57;4.59;2:49:25;0;0;0;29192;7800;6408;4;14039;0
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;4-build-all;36.15;4.53;1:33:11;0;0;0;29992;29304;6064;1850;17267;0
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;5-build-8;35.35;5.08;1:42:05;0;0;0;29912;43264;6952;1452;84167;0
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;6-build-16;36.53;4.54;1:34:43;0;0;0;29648;42936;6272;2129;30847;0
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;7-build-2;31.47;4.49;3:02:44;0;0;0;30296;19016;8592;28;84720;0
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;4-build-all;33.53;3.86;1:36:18;0;0;0;30604;13496;5608;8;14559;0
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;5-build-8;33.96;3.62;1:39:23;0;0;0;29904;16040;6224;27;14631;0
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;6-build-16;33.98;3.91;1:35:19;0;0;0;29988;9008;5584;6;14568;0
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;7-build-2;29.18;3.36;2:49:33;0;0;0;30552;0;8320;0;14617;0
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;4-build-all;38.87;5.03;1:45:06;0;0;0;30296;34536;6008;2364;46264;0
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;5-build-8;37.23;4.47;1:50:40;0;0;0;29980;50624;6592;2224;43732;0
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;6-build-16;38.39;5.03;1:44:45;0;0;0;30024;43624;5944;2300;46546;0
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;7-build-2;33.79;3.81;3:02:48;0;0;0;30060;14616;8736;6;41635;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;4-build-all;35.31;4.18;1:31:10;0;0;0;31292;30432;6064;2403;16223;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;5-build-8;34.37;5.17;1:37:04;0;0;0;31224;48232;7248;2646;17220;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;6-build-16;34.67;4.10;1:32:04;0;0;0;31128;43168;6176;2343;16035;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;7-build-2;30.64;3.55;2:50:35;0;0;0;31812;0;8296;0;14553;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;4-build-all;35.71;4.23;1:31:47;0;0;0;31516;29704;6072;2404;16266;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;5-build-8;34.11;3.91;1:36:59;0;0;0;31308;47848;6240;2396;16173;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;6-build-16;35.54;4.35;1:32:08;0;0;0;31656;45240;6160;2415;16130;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;7-build-2;30.63;3.53;2:52:38;0;0;0;32108;11176;8048;11;14496;0
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;4-build-all;37.64;5.63;2:06:32;0;0;0;34280;13728;6072;29;15711;0
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;5-build-8;37.43;5.54;2:15:19;0;0;0;34132;41136;7384;2869;18382;0
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;6-build-16;37.99;6.26;2:06:14;0;0;0;33636;11440;6304;9;15488;0
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;7-build-2;33.89;5.15;3:22:02;0;0;0;33688;13144;9272;6;15525;0
threadripper-3970x-64gb-zeus;4-build-all;39.13;5.25;1:40:25;0;0;0;28724;111440;5336;7921;23464;0
threadripper-3970x-64gb-zeus;6-build-16;39.19;5.49;1:39:52;0;0;0;28516;99624;5544;6255;22608;0
threadripper-3970x-64gb-zeus;7-build-2;37.60;4.64;2:52:19;0;0;0;28724;52784;6432;1771;17635;0
threadripper-3990x-128gb-zeus;4-build-all;80.69;15.43;1:45:33;1;0;0;28452;83304;4688;3791;19955;0
threadripper-3990x-128gb-zeus;5-build-8;69.21;9.89;1:52:14;1;0;0;28264;85448;5312;4318;19394;0
threadripper-3990x-128gb-zeus;6-build-16;75.87;13.08;1:45:12;1;0;0;28528;129616;4840;5203;20813;0
threadripper-3990x-128gb-zeus;7-build-2;56.68;6.95;2:59:37;0;0;0;28096;32000;7504;1895;16658;0
threadripper-3990x-256gb-zeus;4-build-all;48.78;6.35;1:10:52;1;0;0;28652;8;4536;0;14183;0
threadripper-3990x-256gb-zeus;5-build-8;49.07;5.90;1:21:37;1;0;0;29236;184;4776;6;14167;0
threadripper-3990x-256gb-zeus;6-build-16;49.29;6.31;1:10:39;1;0;0;29372;184;4600;6;14217;0
threadripper-3990x-256gb-zeus;7-build-2;38.44;4.82;2:35:20;0;0;0;29220;176;6920;8;14159;0
vSphere-VM-28t-55G-zeus;4-build-all;48.09;6.63;3:51:17;0;0;0;29084;28664;5496;1934;15523;0
vSphere-VM-28t-55G-zeus;5-build-8;53.09;7.95;4:04:40;0;0;0;28892;38184;6208;1417;16057;0
vSphere-VM-28t-55G-zeus;6-build-16;49.57;7.09;3:49:16;0;0;0;28792;43448;5576;1953;15540;0
vSphere-VM-28t-55G-zeus;7-build-2;62.05;10.06;7:10:04;0;0;0;29360;11176;9448;7;14021;0
