builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
threadripper-3970x-128gb;128;2;no;-2666;64;chromium-x11;3164.63;2.76;29.42;1%;5539;101696;10581;0;30480
threadripper-3970x-128gb;128;2;no;-2666;64;qtbase;489.54;0.08;0.96;0%;48;12114;10545;0;30548
threadripper-3970x-128gb;128;2;no;-2666;64;qtdeclarative;181.92;0.05;0.45;0%;40;10736;10542;0;30716
threadripper-3970x-128gb;128;2;no;-2666;64;qtwebengine;966.39;0.75;8.10;0%;1600;47379;10543;0;30580
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;32;chromium-x11;2252.36;1.02;9.30;0%;951;135730;10557;0;30528
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;32;qtbase;291.67;0.06;0.35;0%;28;11178;10570;0;30484
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;32;qtdeclarative;133.48;0.04;0.31;0%;22;10586;10568;0;30508
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;32;qtwebengine;774.31;0.27;3.15;0%;305;60626;10554;0;30596
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;48;chromium-x11;1940.22;0.87;10.29;0%;1419;119075;10541;0;30444
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;48;qtbase;274.11;0.05;0.37;0%;33;11051;10570;0;30652
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;48;qtdeclarative;129.78;0.05;0.31;0%;26;10544;10549;0;30528
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;48;qtwebengine;663.40;0.42;3.27;0%;414;54987;10605;8;30000
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;64;chromium-x11;1745.81;1.05;11.11;0%;2280;97902;10551;0;30508
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;64;qtbase;279.14;0.03;0.39;0%;31;11065;10552;0;30544
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;64;qtdeclarative;129.22;0.05;0.31;0%;24;10596;10556;0;30504
threadripper-3970x-128gb;128;4;64G;-2666-tmpfs;64;qtwebengine;619.76;0.45;3.43;0%;756;46712;10585;2;29988
threadripper-3970x-128gb;128;4;64G;-2666;32;chromium-x11;2251.02;0.86;9.37;0%;1046;135855;10572;0;30500
threadripper-3970x-128gb;128;4;64G;-2666;32;qtbase;294.01;0.04;0.37;0%;34;11343;10549;0;30516
threadripper-3970x-128gb;128;4;64G;-2666;32;qtdeclarative;133.06;0.07;0.28;0%;28;10503;10565;0;30484
threadripper-3970x-128gb;128;4;64G;-2666;32;qtwebengine;769.91;0.35;3.11;0%;286;62735;10550;0;30552
threadripper-3970x-128gb;128;4;64G;-2666;48;chromium-x11;1938.13;0.90;10.18;0%;1382;118588;10551;0;30512
threadripper-3970x-128gb;128;4;64G;-2666;48;qtbase;279.82;0.04;0.38;0%;30;11189;10546;0;30356
threadripper-3970x-128gb;128;4;64G;-2666;48;qtdeclarative;129.24;0.04;0.31;0%;30;10560;10563;0;30660
threadripper-3970x-128gb;128;4;64G;-2666;48;qtwebengine;673.79;0.32;3.35;0%;400;54587;10556;0;30512
threadripper-3970x-128gb;128;4;64G;-2666;64;chromium-x11;1745.58;1.08;10.99;0%;2259;97872;10555;0;30628
threadripper-3970x-128gb;128;4;64G;-2666;64;qtbase;280.22;0.05;0.37;0%;28;11118;10543;0;30644
threadripper-3970x-128gb;128;4;64G;-2666;64;qtdeclarative;127.75;0.04;0.32;0%;24;10481;10555;0;30468
threadripper-3970x-128gb;128;4;64G;-2666;64;qtwebengine;593.67;0.31;3.62;0%;687;46236;10564;0;30524
threadripper-3970x-128gb;128;4;64G;-qt-5.15;64;qtbase;279.34;0.06;0.41;0%;33;16144;10598;0;30588
threadripper-3970x-128gb;128;4;64G;-qt-5.15;64;qtdeclarative;119.04;0.07;0.35;0%;37;15666;10595;0;30484
threadripper-3970x-128gb;128;4;64G;-qt-5.15;64;qtwebengine;727.31;0.50;4.43;0%;774;65293;10561;0;30672
threadripper-3970x-128gb;128;4;64G;;32;chromium-x11;2157.97;0.78;8.48;0%;846;135485;10531;0;30628
threadripper-3970x-128gb;128;4;64G;;32;qtbase;276.81;0.11;0.29;0%;27;11108;10548;0;30492
threadripper-3970x-128gb;128;4;64G;;32;qtdeclarative;128.36;0.04;0.31;0%;26;10456;10559;0;30480
threadripper-3970x-128gb;128;4;64G;;32;qtwebengine;739.25;0.39;2.83;0%;234;60296;10538;0;30516
threadripper-3970x-128gb;128;4;64G;;32;rust-native;1263.05;0.06;0.42;0%;32;13022;10545;0;30512
threadripper-3970x-128gb;128;4;64G;;48;chromium-x11;1862.57;0.79;9.25;0%;1284;118195;10544;0;30476
threadripper-3970x-128gb;128;4;64G;;48;qtbase;260.85;0.06;0.34;0%;22;11048;10553;0;30524
threadripper-3970x-128gb;128;4;64G;;48;qtdeclarative;123.97;0.06;0.29;0%;34;10556;10570;0;30492
threadripper-3970x-128gb;128;4;64G;;48;qtwebengine;629.14;0.33;3.20;0%;380;54832;10572;0;30528
threadripper-3970x-128gb;128;4;64G;;48;rust-native;1270.91;0.06;0.42;0%;38;13047;10529;0;30392
threadripper-3970x-128gb;128;4;64G;;64;chromium-x11;1674.12;0.94;9.62;0%;1920;97851;10560;0;30428
threadripper-3970x-128gb;128;4;64G;;64;qtbase;258.02;0.04;0.36;0%;27;11064;10566;0;30576
threadripper-3970x-128gb;128;4;64G;;64;qtdeclarative;122.97;0.04;0.29;0%;31;10544;10626;0;30652
threadripper-3970x-128gb;128;4;64G;;64;qtwebengine;589.07;0.40;3.22;0%;632;46421;10563;0;30532
threadripper-3970x-128gb;128;4;64G;;64;rust-native;1254.01;0.05;0.44;0%;52;13159;10549;0;30632
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;32;chromium-x11;2252.86;0.84;9.43;0%;1012;136099;10550;0;30368
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;32;qtbase;298.80;0.04;0.37;0%;28;11186;10547;0;30468
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;32;qtdeclarative;134.74;0.05;0.29;0%;31;10575;10566;0;30532
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;32;qtwebengine;775.55;0.33;3.11;0%;342;60309;10551;0;30476
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;48;chromium-x11;1943.23;0.90;10.44;0%;1492;119961;10555;0;30352
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;48;qtbase;279.76;0.04;0.37;0%;35;11074;10559;0;30628
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;48;qtdeclarative;129.39;0.02;0.33;0%;25;10558;10558;0;30548
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;48;qtwebengine;679.41;0.40;3.31;0%;421;54644;10562;0;30504
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;64;chromium-x11;1747.13;1.02;11.01;0%;2256;98119;10556;0;30412
threadripper-3970x-128gb;128;4;no;-2666-tmpfs;64;qtbase;276.60;0.05;0.36;0%;25;11127;10557;0;30528
