builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;32;qtbase;276.81;0.11;0.29;0%;27;11108;10548;0;30492
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;32;qtdeclarative;128.36;0.04;0.31;0%;26;10456;10559;0;30480
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;32;qtwebengine;739.25;0.39;2.83;0%;234;60296;10538;0;30516
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;32;rust-native;1263.05;0.06;0.42;0%;32;13022;10545;0;30512
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;48;chromium-x11;1862.57;0.79;9.25;0%;1284;118195;10544;0;30476
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;48;qtbase;260.85;0.06;0.34;0%;22;11048;10553;0;30524
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;48;qtdeclarative;123.97;0.06;0.29;0%;34;10556;10570;0;30492
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;48;qtwebengine;629.14;0.33;3.20;0%;380;54832;10572;0;30528
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;48;rust-native;1270.91;0.06;0.42;0%;38;13047;10529;0;30392
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;64;chromium-x11;1674.12;0.94;9.62;0%;1920;97851;10560;0;30428
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;64;qtbase;258.02;0.04;0.36;0%;27;11064;10566;0;30576
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;64;qtdeclarative;122.97;0.04;0.29;0%;31;10544;10626;0;30652
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;64;qtwebengine;589.07;0.40;3.22;0%;632;46421;10563;0;30532
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;64;rust-native;1254.01;0.05;0.44;0%;52;13159;10549;0;30632
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;32;chromium-x11;2252.86;0.84;9.43;0%;1012;136099;10550;0;30368
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;32;qtbase;298.80;0.04;0.37;0%;28;11186;10547;0;30468
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;32;qtdeclarative;134.74;0.05;0.29;0%;31;10575;10566;0;30532
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;32;qtwebengine;775.55;0.33;3.11;0%;342;60309;10551;0;30476
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;48;chromium-x11;1943.23;0.90;10.44;0%;1492;119961;10555;0;30352
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;48;qtbase;279.76;0.04;0.37;0%;35;11074;10559;0;30628
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;48;qtdeclarative;129.39;0.02;0.33;0%;25;10558;10558;0;30548
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;48;qtwebengine;679.41;0.40;3.31;0%;421;54644;10562;0;30504
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;64;chromium-x11;1747.13;1.02;11.01;0%;2256;98119;10556;0;30412
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;64;qtbase;276.60;0.05;0.36;0%;25;11127;10557;0;30528
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;64;qtdeclarative;128.36;0.05;0.30;0%;25;10558;10561;0;30532
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666-tmpfs;64;qtwebengine;617.48;0.34;3.55;0%;687;46571;10555;0;30444
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;32;chromium-x11;2249.83;0.84;9.37;0%;900;135744;10552;0;30440
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;32;qtbase;283.74;0.04;0.37;0%;32;11199;10546;0;30480
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;32;qtdeclarative;133.67;0.03;0.32;0%;30;10715;10551;0;30496
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;32;qtwebengine;763.65;0.33;3.11;0%;260;60466;10549;0;30544
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;48;chromium-x11;1937.98;0.97;10.08;0%;1383;119336;10561;0;30672
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;48;qtbase;273.94;0.06;0.36;0%;30;11175;10625;0;30540
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;48;qtdeclarative;130.07;0.04;0.32;0%;27;10685;10560;0;30508
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;48;qtwebengine;661.01;0.38;3.38;0%;429;54920;10550;0;30516
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;64;chromium-x11;1745.40;0.93;11.19;0%;2157;97948;10547;0;30420
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;64;qtbase;279.56;0.05;0.37;0%;28;11211;10544;0;30464
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;64;qtdeclarative;128.44;0.04;0.31;0%;29;10483;10544;0;30484
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-2666;64;qtwebengine;617.92;0.39;3.48;0%;664;46498;10547;0;30524
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;32;chromium-x11;2139.66;0.76;8.30;0%;774;135147;10566;0;30740
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;32;qtbase;247.12;0.03;0.39;0%;30;11513;10570;0;30492
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;32;qtdeclarative;127.44;0.03;0.32;0%;32;10519;10592;0;30528
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;32;qtwebengine;743.81;0.37;2.88;0%;264;60146;10556;0;30536
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;32;rust-native;1258.11;0.05;0.47;0%;40;13513;10547;0;30640
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;48;chromium-x11;1846.81;0.91;9.02;0%;1234;117823;10547;0;30508
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;48;qtbase;272.25;0.08;0.32;0%;30;12451;10565;0;30592
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;48;qtdeclarative;124.53;0.04;0.31;0%;26;10497;10550;0;30564
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;48;qtwebengine;649.67;0.36;3.10;0%;418;54345;10559;0;30600
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;48;rust-native;1258.82;0.05;0.42;0%;38;13020;10549;0;30580
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;64;chromium-x11;1658.62;1.00;9.58;0%;1896;97617;10547;0;30416
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;64;qtbase;263.33;0.03;0.37;0%;35;11004;10556;0;30540
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;64;qtdeclarative;124.55;0.05;0.31;0%;24;10583;10545;0;30548
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;64;qtwebengine;592.37;0.39;3.17;0%;633;46190;10578;0;30512
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;-tmpfs;64;rust-native;1246.29;0.04;0.46;0%;38;13167;10547;0;30420
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;32;chromium-x11;2139.33;0.82;8.35;0%;766;135560;10553;0;30488
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;32;qtbase;273.40;0.05;0.35;0%;36;11078;10553;0;30272
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;32;qtdeclarative;129.99;0.03;0.33;0%;31;10464;10570;0;30536
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;32;qtwebengine;743.55;0.31;2.92;0%;313;60124;10542;0;30504
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;32;rust-native;1268.95;0.02;0.45;0%;40;13233;10555;0;30628
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;48;chromium-x11;1847.27;0.89;9.10;0%;1334;118788;10553;0;30536
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;48;qtbase;260.94;0.04;0.36;0%;32;11295;10545;0;30632
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;48;qtdeclarative;124.72;0.04;0.32;0%;31;10518;10556;0;30660
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;48;qtwebengine;648.86;0.34;3.17;0%;375;54824;10541;0;30488
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;48;rust-native;1267.87;0.06;0.42;0%;42;13026;10537;0;30484
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;64;chromium-x11;1659.96;0.84;9.75;0%;1879;97699;10545;0;30480
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;64;qtbase;265.90;0.05;0.35;0%;31;10968;10565;0;30532
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;64;qtdeclarative;124.19;0.06;0.30;0%;26;10461;10546;0;30540
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;64;qtwebengine;572.16;0.37;3.24;0%;639;47999;10555;0;30472
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;no;;64;rust-native;1261.16;0.06;0.41;0%;36;12999;10561;0;30488
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;32;chromium-x11;3206.09;1.05;8.74;0%;1568;147756;18602;0;29928
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;32;qtbase;262.42;0.06;0.38;0%;33;14078;10656;0;29776
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;32;qtdeclarative;125.78;0.04;0.38;0%;26;14254;10635;0;29916
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;32;qtwebengine;918.28;0.43;3.62;0%;432;75560;16421;0;29772
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;32;rust-native;619.08;0.04;0.38;0%;41;12955;10635;0;29820
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;48;chromium-x11;2627.78;1.19;9.80;0%;5280;134034;19462;0;29980
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;48;qtbase;261.98;0.06;0.38;0%;32;14009;10645;0;30060
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;48;qtdeclarative;121.31;0.07;0.34;0%;23;13998;10645;0;29920
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;48;qtwebengine;788.78;0.43;3.97;0%;798;66825;16434;0;30032
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;48;rust-native;628.85;0.06;0.37;0%;29;12927;10636;0;29784
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;64;chromium-x11;2363.00;1.16;11.06;0%;2230;118817;19927;0;29832
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;64;qtbase;255.62;0.06;0.38;0%;29;13871;10668;0;29948
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;64;qtdeclarative;118.51;0.03;0.36;0%;26;14053;10637;0;29968
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;64;qtwebengine;711.01;0.47;4.14;0%;846;59894;16450;0;30016
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;128;4;64G;;64;rust-native;619.32;0.05;0.39;0%;35;12992;10637;0;29836
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;32;chromium-x11;2306.85;0.90;8.73;0%;977;144634;11213;0;31976
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;32;qtbase;276.02;0.06;0.36;0%;32;13940;11231;0;31696
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;32;qtdeclarative;113.97;0.05;0.31;0%;33;13646;11219;0;31696
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;32;qtwebengine;726.87;0.37;3.00;0%;345;65038;11216;0;31780
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;32;rust-native;915.35;0.05;0.41;0%;45;13859;11224;0;31736
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;48;chromium-x11;2028.42;0.95;9.26;0%;3228;122018;11221;0;31644
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;48;qtbase;268.83;0.06;0.34;0%;30;13882;11213;0;31732
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;48;qtdeclarative;110.19;0.05;0.32;0%;29;13514;11211;0;31644
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;48;qtwebengine;641.54;0.30;3.25;0%;738;57552;11224;0;31484
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;48;rust-native;918.21;0.07;0.39;0%;31;13768;11223;0;31952
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;64;chromium-x11;1823.42;1.00;9.86;0%;1771;107637;11222;0;31692
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;64;qtbase;268.15;0.09;0.38;0%;41;14444;11225;0;31712
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;64;qtdeclarative;107.89;0.05;0.33;0%;29;13237;11221;0;31820
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;64;qtwebengine;574.72;0.37;3.31;0%;608;50723;11220;0;31752
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;128;4;30G;;64;rust-native;910.60;0.06;0.40;0%;38;13792;11227;0;31804
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;-89.0.4389.90-clang-10.0.0;64;chromium-x11;2437.34;0.86;9.47;0%;1541;120748;11215;0;32020
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;-89.0.4389.90-clang-12.0.0;64;chromium-x11;3391.26;1.09;9.37;0%;1590;123339;11204;0;31912
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;32;chromium-x11;2321.72;0.93;8.59;0%;967;143331;11237;0;31672
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;32;qtbase;256.64;0.04;0.39;0%;34;13846;11246;0;31952
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;32;qtdeclarative;114.18;0.05;0.34;0%;33;13666;11239;0;31780
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;32;qtwebengine;728.52;0.31;3.05;0%;430;65336;11238;0;31956
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;32;rust-native;917.87;0.07;0.40;0%;38;13963;11244;0;32000
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;48;chromium-x11;2045.42;0.74;9.35;0%;2967;121704;11245;0;31964
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;48;qtbase;264.05;0.07;0.36;0%;27;13873;11238;0;31684
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;48;qtdeclarative;110.55;0.05;0.31;0%;30;13413;11244;0;31784
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;48;qtwebengine;642.84;0.36;3.21;0%;798;58136;11231;0;31964
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;48;rust-native;920.09;0.05;0.39;0%;30;14176;11238;0;31776
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;64;chromium-x11;1837.13;0.99;9.77;0%;1799;107880;11235;0;31612
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;64;qtbase;266.09;0.07;0.37;0%;34;14235;11237;0;31652
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;64;qtdeclarative;108.08;0.06;0.28;0%;29;14746;11238;0;31804
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;64;qtwebengine;576.24;0.44;3.21;0%;605;50515;11248;0;31800
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;128;4;30G;;64;rust-native;918.09;0.09;0.39;0%;42;14177;11249;0;31716
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;-without-shared-libs;64;chromium-x11;2702.34;0.95;9.59;0%;1710;121824;12192;0;33216
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;-without-shared-libs;64;qtbase;228.86;0.07;0.36;0%;34;14541;12189;0;33232
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;-without-shared-libs;64;qtdeclarative;125.28;0.03;0.36;0%;38;14364;12177;0;33180
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;-without-shared-libs;64;qtwebengine;798.85;0.48;4.34;0%;819;62519;12180;0;33248
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;-without-shared-libs;64;rust-native;602.41;0.04;0.40;0%;40;13294;12176;0;33228
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;32;chromium-x11;4220.95;0.99;9.32;0%;1257;166092;12179;0;33176
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;32;epiphany;9.87;0.07;0.39;4%;42;17912;12182;0;33328
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;32;firefox;487.42;0.06;0.41;0%;33;17432;12173;0;33396
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;32;qtbase;246.11;0.03;0.37;0%;35;14727;12181;0;33308
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;32;qtdeclarative;132.50;0.04;0.35;0%;38;15472;12175;0;33252
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;32;qtwebengine;1013.81;0.40;4.03;0%;444;82807;12185;0;33232
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;32;rust-native;598.16;0.07;0.36;0%;44;13413;12182;0;33340
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;48;chromium-x11;3926.77;1.02;9.65;0%;2462;142780;12186;0;33292
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;48;qtbase;218.11;0.06;0.35;0%;37;14137;12180;0;33204
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;48;qtdeclarative;127.63;0.07;0.30;0%;29;14063;12172;0;33312
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;48;qtwebengine;884.59;0.38;4.37;0%;1086;71334;12188;0;33300
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;48;rust-native;599.89;0.06;0.38;0%;32;13212;12178;0;33200
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;64;chromium-x11;3643.28;1.02;9.65;0%;1483;125681;12190;0;33328
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;64;epiphany;9.29;0.08;0.38;5%;41;17563;12171;3;33232
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;64;firefox;479.31;0.03;0.43;0%;36;17155;12168;0;33252
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;64;qtbase;220.29;0.07;0.34;0%;34;15437;12193;0;33336
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;64;qtdeclarative;125.30;0.05;0.33;0%;40;14097;12187;0;33288
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;64;qtwebengine;797.69;0.50;4.32;0%;802;63276;12181;0;33280
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;128;4;30G;;64;rust-native;597.14;0.06;0.38;0%;36;13430;12184;0;33368
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;-chromium-81.0.4044.138-clang-10.0.0;64;chromium-x11;1903.34;1.20;9.79;0%;1888;108718;12176;0;33528
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;-chromium-81.0.4044.138-clang-12.0.0;64;chromium-x11;2517.32;0.93;9.59;0%;1653;107947;12176;0;33228
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;-chromium-89.0.4389.90-clang-12.0.0-ld-is-gold;64;chromium-x11;3573.38;1.06;9.53;0%;1526;124000;12175;0;33516
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;-chromium-89.0.4389.90-clang-12.0.0-ld-is-lld;64;chromium-x11;3570.62;1.03;9.78;0%;1549;123411;12182;0;33300
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;-chromium-89.0.4389.90-clang-12.0.0-without-shared-libs;64;chromium-x11;2675.61;1.05;9.47;0%;1686;122102;12193;0;33688
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;32;chromium-x11;4141.91;1.04;9.23;0%;1155;164171;12184;0;33296
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;32;qtbase;226.78;0.05;0.37;0%;39;14500;12175;0;33244
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;32;qtdeclarative;125.17;0.05;0.35;0%;36;15270;12175;0;33508
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;32;qtwebengine;988.48;0.46;3.91;0%;488;81906;12187;0;33272
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;32;rust-native;593.21;0.07;0.35;0%;43;13043;12179;0;33280
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;48;qtbase;216.76;0.05;0.37;0%;41;14260;12175;0;33276
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;48;qtdeclarative;121.48;0.08;0.32;0%;38;14090;12176;0;33296
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;48;qtwebengine;867.11;0.43;4.30;0%;1430;71962;12181;0;33552
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;48;rust-native;594.71;0.07;0.36;0%;36;12976;12184;0;33320
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;64;chromium-x11;3571.57;1.11;9.50;0%;1478;123679;12175;0;33152
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;64;qtbase;205.47;0.05;0.37;0%;40;15453;12182;0;33264
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;64;qtdeclarative;118.12;0.04;0.35;0%;29;13945;12190;0;33484
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;64;qtwebengine;784.61;0.49;4.34;0%;802;64190;12178;0;33220
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;128;4;30G;;64;rust-native;598.45;0.06;0.37;0%;38;13012;12180;0;33308
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;-PR-554-libc++-glibc-2.34-ubuntu;32;chromium-x11;2841.49;0.97;9.88;0%;1215;175583;12852;0;38996
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;-PR-554-libc++-glibc-2.34-ubuntu;48;chromium-x11;2591.30;1.10;10.17;0%;2358;151316;12877;0;38964
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;-PR-554-libc++-glibc-2.34-ubuntu;64;chromium-x11;2379.42;1.03;10.06;0%;1735;128827;12875;0;38984
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;-PR-554-libc++;32;chromium-x11;2890.76;1.03;9.92;0%;1120;176011;12859;0;39180
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;-PR-554-libc++;48;chromium-x11;2630.64;1.21;9.98;0%;2442;148688;12865;0;39172
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;-PR-554-libc++;64;chromium-x11;2417.64;1.08;10.14;0%;2119;129099;12848;0;39032
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;-PR-555-max_jobs_per_link;32;chromium-x11;2986.65;1.07;9.91;0%;1409;175246;12849;0;38976
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;-PR-555-max_jobs_per_link;48;chromium-x11;2703.83;1.22;10.50;0%;2819;153550;12867;0;39368
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;-PR-555-max_jobs_per_link;64;chromium-x11;2472.78;1.00;10.39;0%;2144;129644;12849;0;39212
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;32;chromium-x11;3201.93;1.14;9.78;0%;1248;176398;12844;0;39188
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;32;qtbase;244.16;0.08;0.36;0%;47;14800;12856;0;39072
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;32;qtdeclarative;128.40;0.08;0.32;0%;33;14488;12853;0;39000
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;32;qtwebengine;1222.36;0.63;4.65;0%;676;91234;12855;0;39116
