builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;16;chromium-x11;3547.38;0.78;8.22;0%;647;142400;9360;0;27916
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;16;qtbase;398.66;0.04;0.31;0%;11;13607;9361;0;27928
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;16;qtdeclarative;172.34;0.03;0.27;0%;7;11722;9368;0;28012
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;16;qtwebengine;1147.18;0.28;2.89;0%;129;63792;9367;0;27900
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;16;rust-native;1030.84;0.02;0.35;0%;26;12240;9357;0;27924
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;24;chromium-x11;3310.44;0.76;8.89;0%;287;141542;9356;0;27896
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;24;qtbase;398.73;0.03;0.32;0%;11;12543;9362;0;28008
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;24;qtdeclarative;163.57;0.02;0.27;0%;7;12733;9363;0;27936
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;24;qtwebengine;1059.22;0.28;3.09;0%;119;64538;9370;0;28072
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;24;rust-native;1034.00;0.04;0.33;0%;24;12422;9358;0;27932
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;32;chromium-x11;3120.27;0.68;8.65;0%;631;102861;9365;0;27976
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;32;qtbase;401.87;0.04;0.33;0%;11;13678;9369;0;27988
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;32;qtdeclarative;161.31;0.02;0.25;0%;13;11387;9369;0;28024
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;32;qtwebengine;997.65;0.27;2.97;0%;272;50006;9367;0;28016
ryzen-9-5950x-128gb-docker-zeus;128;2;x;-tmpfs;32;rust-native;1027.47;0.02;0.34;0%;20;12463;9354;0;28008
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;-1-BB-THREAD;64;rust-native;5687.18;0.13;0.97;0%;50;33130;10624;0;30360
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;-revert-parallel;64;rust-native;810.20;0.05;0.42;0%;42;13493;10650;0;30580
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;-revert-tar;64;rust-native;812.04;0.05;0.42;0%;39;13590;10582;0;30200
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;-use-PM;32;rust-native;588.02;0.06;0.38;0%;30;12566;10588;0;30728
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;-use-PM;48;rust-native;590.88;0.05;0.37;0%;37;12481;10585;0;30536
